model,dataset,comparison,limit_a,limit_b,acc_before,acc_after,delta_pp,p_value,cohens_h,significant
glm_4.5,gsm8k,300→500,300,500,0.04,0.2,16.0,0.0138230238203767,0.5245793764209505,*
glm_4.5,gsm8k,500→1000,500,1000,0.2,0.66,46.0,3.3883709424920028e-06,0.9692305960879147,***
glm_4.5,gsm8k,1000→2000,1000,2000,0.66,0.74,7.9999999999999964,0.3827330888852263,0.17492522510995778,ns
glm_4.5,gsm8k,2000→4000,2000,4000,0.74,0.78,4.0000000000000036,0.6395751409486874,0.09373108759647408,ns
glm_4.5,gsm8k,4000→8000,4000,8000,0.78,0.8,2.0000000000000018,0.8060582308995545,0.049115308792222034,ns
glm_4.5,boolq,300→500,300,500,0.12,0.1,-1.9999999999999991,0.7492705235284574,-0.06398210298605855,ns
glm_4.5,boolq,500→1000,500,1000,0.1,0.08,-2.0000000000000004,0.7267678061991005,-0.0699880043701876,ns
glm_4.5,boolq,1000→2000,1000,2000,0.08,0.06,-2.0000000000000004,0.6951092703010273,-0.07857897808220127,ns
glm_4.5,boolq,2000→4000,2000,4000,0.06,0.0,-6.0,0.0786401793488285,-0.4949341263408955,ns
glm_4.5,boolq,4000→8000,4000,8000,0.0,0.0,0.0,1.0,0.0,ns
glm_4.5,arc-easy,300→500,300,500,0.3,0.12,-18.0,0.027130936740176637,-0.45179626894806557,*
glm_4.5,arc-easy,500→1000,500,1000,0.12,0.4,28.000000000000004,0.0014142578115285964,0.661955194225223,**
glm_4.5,arc-easy,1000→2000,1000,2000,0.4,1.0,60.0,5.888667331532815e-11,1.7721542475852272,***
glm_4.5,arc-easy,2000→4000,2000,4000,1.0,0.98,-2.0000000000000018,0.31487864133641974,-0.28379410920832715,ns
glm_4.5,arc-easy,4000→8000,4000,8000,0.98,1.0,2.0000000000000018,0.31487864133641974,0.28379410920832715,ns
glm_4.5,gpqa,300→500,300,500,0.2,0.28,8.000000000000002,0.348971653149742,0.1879024353974611,ns
glm_4.5,gpqa,500→1000,500,1000,0.28,0.22,-6.000000000000003,0.4884223166225934,-0.13878712660523884,ns
glm_4.5,gpqa,1000→2000,1000,2000,0.22,0.26,4.000000000000001,0.6395751409486876,0.09373108759647397,ns
glm_4.5,gpqa,2000→4000,2000,4000,0.26,0.32,6.0,0.5085228788304879,0.13238681896794824,ns
glm_4.5,gpqa,4000→8000,4000,8000,0.32,0.66,34.0,0.0006721841474157664,0.6939973807312703,***
glm_4.7_355 billion_32b,gsm8k,300→500,300,500,0.08,0.08,0.0,1.0,0.0,ns
glm_4.7_355 billion_32b,gsm8k,500→1000,500,1000,0.08,0.62,54.0,1.507232894049082e-08,1.2396490734107632,***
glm_4.7_355 billion_32b,gsm8k,1000→2000,1000,2000,0.62,0.76,14.000000000000002,0.13014365902576763,0.30448509965698034,ns
glm_4.7_355 billion_32b,gsm8k,2000→4000,2000,4000,0.76,0.84,7.9999999999999964,0.31731050786291437,0.20091168396397663,ns
glm_4.7_355 billion_32b,gsm8k,4000→8000,4000,8000,0.84,0.86,2.0000000000000018,0.7794345284272748,0.05603968427310946,ns
glm_4.7_355 billion_32b,boolq,300→500,300,500,0.2,0.12,-8.000000000000002,0.27523352407483426,-0.21981200622226926,ns
glm_4.7_355 billion_32b,boolq,500→1000,500,1000,0.12,0.04,-7.999999999999999,0.1403686607716732,-0.30476737019868133,ns
glm_4.7_355 billion_32b,boolq,1000→2000,1000,2000,0.04,0.08,4.0,0.3997029217823824,0.17079726284243518,ns
glm_4.7_355 billion_32b,boolq,2000→4000,2000,4000,0.08,0.0,-8.0,0.041226833337163704,-0.5735131044230968,*
glm_4.7_355 billion_32b,boolq,4000→8000,4000,8000,0.0,0.0,0.0,1.0,0.0,ns
glm_4.7_355 billion_32b,arc-easy,300→500,300,500,0.28,0.14,-14.000000000000002,0.0856872031703837,-0.3482036455372066,ns
glm_4.7_355 billion_32b,arc-easy,500→1000,500,1000,0.14,0.46,32.0,0.00048034119998185965,0.723716738899371,***
glm_4.7_355 billion_32b,arc-easy,1000→2000,1000,2000,0.46,0.96,49.99999999999999,3.598635234247638e-08,1.2481660652478936,***
glm_4.7_355 billion_32b,arc-easy,2000→4000,2000,4000,0.96,0.96,0.0,1.0,0.0,ns
