model,dataset,token_limit,accuracy,n_samples,n_correct,avg_tokens,median_tokens,max_tokens,min_tokens,std_tokens,hit_limit_count,hit_limit_pct
deepseek-r1-685b,gpqa,300,0.44,50,22,6455.46,5930.0,16013,1106,3846.1131464248474,50,100.0
deepseek-r1-685b,gpqa,500,0.36,50,18,6851.56,6185.5,16815,1053,4157.350167437652,50,100.0
deepseek-r1-685b,gpqa,1000,0.24,50,12,1000.0,1000.0,1000,1000,0.0,50,100.0
deepseek-r1-685b,gpqa,2000,0.28,50,14,1975.94,2000.0,2000,1094,134.01955538088384,48,96.0
deepseek-r1-685b,gpqa,4000,0.3,50,15,3742.74,4000.0,4000,1094,615.1130909791123,38,76.0
deepseek-r1-685b,gpqa,8000,0.4,50,20,4397.6,4332.5,8000,0,3143.849031791106,14,28.000000000000004
glm_4.5,gsm8k,300,0.04,50,2,300.0,300.0,300,300,0.0,50,100.0
glm_4.5,gsm8k,500,0.2,50,10,493.32,500.0,500,346,30.08521231435803,47,94.0
glm_4.5,gsm8k,1000,0.66,50,33,815.52,862.5,1000,376,196.63892528890486,18,36.0
glm_4.5,gsm8k,2000,0.74,50,37,962.86,829.5,2000,366,439.8174022784214,3,6.0
glm_4.5,gsm8k,4000,0.78,50,39,1041.66,843.0,4000,376,683.1167351760247,1,2.0
glm_4.5,gsm8k,8000,0.8,50,40,965.26,837.5,2865,366,453.16081796507467,0,0.0
glm_4.5,boolq,300,0.12,50,6,299.72,300.0,300,292,1.4002915148391828,50,100.0
glm_4.5,boolq,500,0.1,50,5,425.88,441.0,500,242,77.52909657881054,21,42.0
glm_4.5,boolq,1000,0.08,50,4,572.36,436.5,1000,299,265.55054555563987,10,20.0
glm_4.5,boolq,2000,0.06,50,3,742.72,443.5,2000,242,581.7275131810741,7,14.000000000000002
glm_4.5,boolq,4000,0.0,50,0,863.84,444.5,4000,291,959.6225524993179,2,4.0
glm_4.5,boolq,8000,0.0,50,0,914.76,430.0,6898,291,1188.7595070973293,0,0.0
glm_4.5,arc-easy,300,0.3,50,15,300.0,300.0,300,300,0.0,50,100.0
glm_4.5,arc-easy,500,0.12,50,6,500.0,500.0,500,500,0.0,50,100.0
glm_4.5,arc-easy,1000,0.4,50,20,969.36,1000.0,1000,713,65.37107892014383,37,74.0
glm_4.5,arc-easy,2000,1.0,50,50,1184.62,1176.5,1672,730,233.32371224090696,0,0.0
glm_4.5,arc-easy,4000,0.98,50,49,1194.22,1219.0,1785,741,245.25532634795277,0,0.0
glm_4.5,arc-easy,8000,1.0,50,50,1165.52,1147.5,1704,741,223.0438082712974,0,0.0
glm_4.5,gpqa,300,0.2,50,10,300.0,300.0,300,300,0.0,50,100.0
glm_4.5,gpqa,500,0.28,50,14,500.0,500.0,500,500,0.0,50,100.0
glm_4.5,gpqa,1000,0.22,50,11,1000.0,1000.0,1000,1000,0.0,50,100.0
glm_4.5,gpqa,2000,0.26,50,13,1973.9,2000.0,2000,1263,119.7513154458873,47,94.0
glm_4.5,gpqa,4000,0.32,50,16,3724.48,4000.0,4000,1428,613.9828236645566,37,74.0
glm_4.5,gpqa,8000,0.66,50,33,5852.62,6423.5,8000,1428,2152.080349857992,17,34.0
glm_4.7_355 billion_32b,gsm8k,300,0.08,50,4,300.0,300.0,300,300,0.0,50,100.0
glm_4.7_355 billion_32b,gsm8k,500,0.08,50,4,496.22,500.0,500,354,21.40502515861209,48,96.0
glm_4.7_355 billion_32b,gsm8k,1000,0.62,50,31,819.1,844.0,1000,389,171.27901214100928,15,30.0
glm_4.7_355 billion_32b,gsm8k,2000,0.76,50,38,951.74,857.0,2000,393,410.9950002178635,3,6.0
glm_4.7_355 billion_32b,gsm8k,4000,0.84,50,42,937.16,855.0,2596,373,441.881984429401,0,0.0
glm_4.7_355 billion_32b,gsm8k,8000,0.86,50,43,1042.02,856.5,4247,397,671.8971158486352,0,0.0
glm_4.7_355 billion_32b,boolq,300,0.2,50,10,299.56,300.0,300,287,2.214608271437269,49,98.0
glm_4.7_355 billion_32b,boolq,500,0.12,50,6,416.56,417.5,500,246,76.2271471274091,17,34.0
glm_4.7_355 billion_32b,boolq,1000,0.04,50,2,528.9,432.5,1000,259,251.4009116279154,8,16.0
glm_4.7_355 billion_32b,boolq,2000,0.08,50,4,652.48,394.0,2000,259,544.9319837729985,5,10.0
glm_4.7_355 billion_32b,boolq,4000,0.0,50,0,778.4,419.0,3875,281,855.9197940680839,0,0.0
glm_4.7_355 billion_32b,boolq,8000,0.0,50,0,696.82,395.5,4398,291,704.9384019985326,0,0.0
glm_4.7_355 billion_32b,arc-easy,300,0.28,50,14,300.0,300.0,300,300,0.0,50,100.0
glm_4.7_355 billion_32b,arc-easy,500,0.14,50,7,500.0,500.0,500,500,0.0,50,100.0
glm_4.7_355 billion_32b,arc-easy,1000,0.46,50,23,955.82,1000.0,1000,707,79.93918351612362,34,68.0
glm_4.7_355 billion_32b,arc-easy,2000,0.96,50,48,1134.26,1071.0,2000,719,253.0307563784873,1,2.0
glm_4.7_355 billion_32b,arc-easy,4000,0.96,50,48,1172.54,1135.0,4000,687,470.36209282567296,1,2.0
glm_4.7_355 billion_32b,arc-easy,8000,0.98,50,49,1217.26,1096.0,5577,711,687.0849934056668,0,0.0
glm_4.7_355 billion_32b,gpqa,300,0.14,50,7,300.0,300.0,300,300,0.0,50,100.0
glm_4.7_355 billion_32b,gpqa,500,0.3,50,15,500.0,500.0,500,500,0.0,50,100.0
glm_4.7_355 billion_32b,gpqa,1000,0.24,50,12,1000.0,1000.0,1000,1000,0.0,50,100.0
glm_4.7_355 billion_32b,gpqa,2000,0.22,50,11,1980.2,2000.0,2000,1497,87.90904390334364,47,94.0
glm_4.7_355 billion_32b,gpqa,4000,0.34,50,17,3572.46,4000.0,4000,1451,707.9204731652635,32,64.0
glm_4.7_355 billion_32b,gpqa,8000,0.46,50,23,5406.58,5226.5,8000,1445,2519.5378754276126,20,40.0
kimi2.5_1t_32b_sctive,gsm8k,300,0.18,50,9,296.62,300.0,300,194,16.082554878767596,47,94.0
kimi2.5_1t_32b_sctive,gsm8k,500,0.48,50,24,426.92,466.0,500,222,85.9914186511227,22,44.0
kimi2.5_1t_32b_sctive,gsm8k,1000,0.6,50,30,519.86,445.5,1000,222,219.30744517732197,4,8.0
kimi2.5_1t_32b_sctive,gsm8k,2000,0.62,50,31,611.66,476.0,2000,222,430.78696899170626,2,4.0
kimi2.5_1t_32b_sctive,gsm8k,4000,0.72,50,36,597.78,447.0,2296,194,422.3886057716452,0,0.0
kimi2.5_1t_32b_sctive,gsm8k,8000,0.68,50,34,595.16,435.0,1899,191,406.47074147282655,0,0.0
kimi2.5_1t_32b_sctive,boolq,300,0.12,50,6,229.3,233.5,300,92,70.24454369107501,21,42.0
kimi2.5_1t_32b_sctive,boolq,500,0.04,50,2,290.62,246.0,500,92,147.48765289034213,14,28.000000000000004
kimi2.5_1t_32b_sctive,boolq,1000,0.02,50,1,350.42,230.5,1000,92,275.17594297437546,5,10.0
kimi2.5_1t_32b_sctive,boolq,2000,0.02,50,1,445.52,227.5,2000,92,451.26345262326464,1,2.0
kimi2.5_1t_32b_sctive,boolq,4000,0.0,50,0,478.04,222.5,2744,92,587.6725785604061,0,0.0
kimi2.5_1t_32b_sctive,boolq,8000,0.0,50,0,465.94,226.0,2616,92,545.3379558791493,0,0.0
kimi2.5_1t_32b_sctive,arc-easy,300,0.24,50,12,300.0,300.0,300,300,0.0,50,100.0
kimi2.5_1t_32b_sctive,arc-easy,500,0.28,50,14,498.8,500.0,500,440,8.485281374238571,49,98.0
kimi2.5_1t_32b_sctive,arc-easy,1000,0.92,50,46,747.3,706.0,1000,430,162.42074990591564,7,14.000000000000002
kimi2.5_1t_32b_sctive,arc-easy,2000,1.0,50,50,795.7,707.0,1961,440,286.890027284153,0,0.0
kimi2.5_1t_32b_sctive,arc-easy,4000,1.0,50,50,791.62,701.0,1589,451,274.40324044614874,0,0.0
kimi2.5_1t_32b_sctive,arc-easy,8000,1.0,50,50,791.78,719.0,1529,440,241.83501628598125,0,0.0
kimi2.5_1t_32b_sctive,gpqa,300,0.16,50,8,300.0,300.0,300,300,0.0,50,100.0
kimi2.5_1t_32b_sctive,gpqa,500,0.26,50,13,500.0,500.0,500,500,0.0,50,100.0
kimi2.5_1t_32b_sctive,gpqa,1000,0.22,50,11,1000.0,1000.0,1000,1000,0.0,50,100.0
kimi2.5_1t_32b_sctive,gpqa,2000,0.28,50,14,1956.14,2000.0,2000,927,185.3117626805031,47,94.0
kimi2.5_1t_32b_sctive,gpqa,4000,0.4,50,20,3608.54,4000.0,4000,996,793.7667423270452,37,74.0
kimi2.5_1t_32b_sctive,gpqa,8000,0.6,50,30,5674.32,6129.5,8000,1057,2422.380019058672,18,36.0
qwenqwen3-32b_o1,gsm8k,300,0.16,50,8,300.0,300.0,300,300,0.0,50,100.0
qwenqwen3-32b_o1,gsm8k,500,0.28,50,14,500.0,500.0,500,500,0.0,50,100.0
qwenqwen3-32b_o1,gsm8k,1000,0.72,50,36,960.46,1000.0,1000,619,98.28077437751952,41,82.0
qwenqwen3-32b_o1,gsm8k,2000,0.96,50,48,1379.96,1287.5,2000,515,389.6558900530842,7,14.000000000000002
qwenqwen3-32b_o1,gsm8k,4000,0.98,50,49,1583.68,1296.0,4000,593,818.2549485437447,1,2.0
qwenqwen3-32b_o1,gsm8k,8000,0.98,50,49,1627.2,1436.5,8000,562,1091.4049735668839,1,2.0
qwenqwen3-32b_o1,boolq,300,0.32,50,16,203.64,194.5,300,89,67.13913667503768,12,24.0
qwenqwen3-32b_o1,boolq,500,0.5,50,25,239.8,202.5,500,87,120.05525938551149,5,10.0
qwenqwen3-32b_o1,boolq,1000,0.44,50,22,245.44,190.0,882,89,163.52683858858,0,0.0
qwenqwen3-32b_o1,boolq,2000,0.48,50,24,246.84,214.5,831,89,145.63378168318962,0,0.0
qwenqwen3-32b_o1,boolq,4000,0.52,50,26,250.42,198.5,932,91,155.1756200607057,0,0.0
qwenqwen3-32b_o1,boolq,8000,0.48,50,24,224.92,195.5,698,89,116.22635199454204,0,0.0
qwenqwen3-32b_o1,arc-easy,300,0.42,50,21,298.9,300.0,300,251,6.949526485117309,49,98.0
qwenqwen3-32b_o1,arc-easy,500,0.8,50,40,455.48,500.0,500,251,71.88603225003492,32,64.0
qwenqwen3-32b_o1,arc-easy,1000,0.98,50,49,559.02,525.5,1000,270,178.843049421918,1,2.0
qwenqwen3-32b_o1,arc-easy,2000,1.0,50,50,562.88,537.5,1465,251,226.31895859695044,0,0.0
qwenqwen3-32b_o1,arc-easy,4000,0.96,50,48,582.1,542.5,1413,246,224.69764264950553,0,0.0
qwenqwen3-32b_o1,arc-easy,8000,0.96,50,48,584.64,562.5,1358,254,208.08002385267693,0,0.0
qwenqwen3-32b_o1,gpqa,300,0.24,50,12,300.0,300.0,300,300,0.0,50,100.0
qwenqwen3-32b_o1,gpqa,500,0.28,50,14,500.0,500.0,500,500,0.0,50,100.0
qwenqwen3-32b_o1,gpqa,1000,0.3,50,15,988.1,1000.0,1000,701,51.02750358825111,47,94.0
qwenqwen3-32b_o1,gpqa,2000,0.44,50,22,1869.68,2000.0,2000,753,321.27923133902686,40,80.0
qwenqwen3-32b_o1,gpqa,4000,0.52,50,26,3051.34,3714.5,4000,0,1180.5688115376884,23,46.0
qwenqwen3-32b_o1,gpqa,8000,0.44,50,22,3632.54,3004.0,8000,0,2691.7421731916997,9,18.0
QwenQwQ-32B-Preview,gsm8k,300,0.34,50,17,284.3,300.0,300,133,38.96165042810215,41,82.0
QwenQwQ-32B-Preview,gsm8k,500,0.82,50,41,394.22,431.5,500,133,109.36874343621365,15,30.0
QwenQwQ-32B-Preview,gsm8k,1000,0.92,50,46,447.5,431.5,1000,133,199.07656715906253,3,6.0
QwenQwQ-32B-Preview,gsm8k,2000,0.98,50,49,493.62,431.5,1810,133,354.66655164695595,0,0.0
QwenQwQ-32B-Preview,gsm8k,4000,0.98,50,49,493.62,431.5,1810,133,354.66655164695595,0,0.0
QwenQwQ-32B-Preview,gsm8k,8000,0.98,50,49,493.62,431.5,1810,133,354.66655164695595,0,0.0
QwenQwQ-32B-Preview,boolq,300,0.88,50,44,69.9,60.0,300,2,72.39609020900936,3,6.0
QwenQwQ-32B-Preview,boolq,500,0.88,50,44,75.5,60.0,500,2,93.5096306291933,1,2.0
QwenQwQ-32B-Preview,boolq,1000,0.88,50,44,85.5,60.0,1000,2,149.69073560688588,1,2.0
QwenQwQ-32B-Preview,boolq,2000,0.88,50,44,105.5,60.0,2000,2,282.3718239109127,1,2.0
