model,dataset,token_limit,accuracy,n_samples,n_correct,avg_tokens,median_tokens,max_tokens,min_tokens,std_tokens,hit_limit_count,hit_limit_pct
deepseek-aiDeepSeek-R1-Distill-Qwen-14B,gsm8k,300,0.42,50,21,296.04,300.0,300,246,12.499730609342043,45,90.0
deepseek-aiDeepSeek-R1-Distill-Qwen-14B,gsm8k,500,0.48,50,24,459.06,500.0,500,246,79.92558018148469,37,74.0
deepseek-aiDeepSeek-R1-Distill-Qwen-14B,gsm8k,1000,0.7,50,35,723.56,796.5,1000,246,272.27036083230786,16,32.0
deepseek-aiDeepSeek-R1-Distill-Qwen-14B,gsm8k,2000,0.82,50,41,914.9,796.5,2000,246,558.0456147693172,6,12.0
deepseek-aiDeepSeek-R1-Distill-Qwen-14B,gsm8k,4000,0.78,50,39,1238.56,764.5,4000,246,1261.0551001896333,8,16.0
deepseek-aiDeepSeek-R1-Distill-Qwen-14B,boolq,300,0.8,50,40,44.44,6.0,300,5,80.14022404638062,3,6.0
deepseek-aiDeepSeek-R1-Distill-Qwen-14B,boolq,500,0.82,50,41,49.66,6.0,500,5,99.87187914972843,1,2.0
deepseek-aiDeepSeek-R1-Distill-Qwen-14B,boolq,1000,0.84,50,42,59.66,6.0,1000,5,155.45097133757616,1,2.0
deepseek-aiDeepSeek-R1-Distill-Qwen-14B,boolq,2000,0.84,50,42,75.94,6.0,1814,5,262.0290846919284,0,0.0
deepseek-aiDeepSeek-R1-Distill-Qwen-14B,boolq,4000,0.84,50,42,75.94,6.0,1814,5,262.0290846919284,0,0.0
deepseek-aiDeepSeek-R1-Distill-Qwen-14B,arc-easy,300,0.7,50,35,232.96,262.5,300,83,73.7640917011102,23,46.0
deepseek-aiDeepSeek-R1-Distill-Qwen-14B,arc-easy,500,0.9,50,45,281.92,262.5,500,83,132.73617226879577,7,14.000000000000002
deepseek-aiDeepSeek-R1-Distill-Qwen-14B,arc-easy,1000,1.0,50,50,308.24,262.5,1000,83,193.68537078763296,1,2.0
deepseek-aiDeepSeek-R1-Distill-Qwen-14B,arc-easy,2000,1.0,50,50,310.48,262.5,1112,83,202.3048053945192,0,0.0
deepseek-aiDeepSeek-R1-Distill-Qwen-14B,arc-easy,4000,1.0,50,50,310.48,262.5,1112,83,202.3048053945192,0,0.0
deepseek-aiDeepSeek-R1-Distill-Qwen-14B,gpqa,300,0.46,50,23,295.28,300.0,300,146,23.273914626482934,47,94.0
deepseek-aiDeepSeek-R1-Distill-Qwen-14B,gpqa,500,0.5,50,25,475.14,500.0,500,146,72.77530698061292,42,84.0
deepseek-aiDeepSeek-R1-Distill-Qwen-14B,gpqa,1000,0.64,50,32,845.02,1000.0,1000,146,252.23753705989287,33,66.0
deepseek-aiDeepSeek-R1-Distill-Qwen-14B,gpqa,2000,0.72,50,36,1425.3,1985.5,2000,146,682.7805172190237,25,50.0
deepseek-aiDeepSeek-R1-Distill-Qwen-14B,gpqa,4000,0.74,50,37,2280.4,2207.5,4000,146,1532.1077518455763,18,36.0
deepseek-aiDeepSeek-R1-Distill-Qwen-7B,gsm8k,300,0.12,50,6,300.0,300.0,300,300,0.0,50,100.0
deepseek-aiDeepSeek-R1-Distill-Qwen-7B,gsm8k,500,0.24,50,12,500.0,500.0,500,500,0.0,50,100.0
deepseek-aiDeepSeek-R1-Distill-Qwen-7B,gsm8k,1000,0.52,50,26,958.58,1000.0,1000,609,109.21371858210219,43,86.0
deepseek-aiDeepSeek-R1-Distill-Qwen-7B,gsm8k,2000,0.66,50,33,1615.2,2000.0,2000,609,499.1014374833629,28,56.00000000000001
deepseek-aiDeepSeek-R1-Distill-Qwen-7B,gsm8k,4000,0.66,50,33,2641.58,3422.5,4000,609,1428.335824714645,25,50.0
deepseek-aiDeepSeek-R1-Distill-Qwen-7B,boolq,300,0.64,50,32,260.92,300.0,300,54,64.53786738443262,31,62.0
deepseek-aiDeepSeek-R1-Distill-Qwen-7B,boolq,500,0.68,50,34,364.38,403.0,500,54,146.6879083257362,23,46.0
deepseek-aiDeepSeek-R1-Distill-Qwen-7B,boolq,1000,0.68,50,34,532.76,403.0,1000,54,343.93316626510864,14,28.000000000000004
deepseek-aiDeepSeek-R1-Distill-Qwen-7B,boolq,2000,0.68,50,34,798.22,403.0,2000,54,752.5554095811125,13,26.0
deepseek-aiDeepSeek-R1-Distill-Qwen-7B,boolq,4000,0.68,50,34,1318.22,403.0,4000,54,1620.803545864123,13,26.0
deepseek-aiDeepSeek-R1-Distill-Qwen-7B,arc-easy,300,0.34,50,17,289.62,300.0,300,155,30.111283396014557,43,86.0
deepseek-aiDeepSeek-R1-Distill-Qwen-7B,arc-easy,500,0.6,50,30,429.86,499.0,500,155,99.62808595072015,26,52.0
deepseek-aiDeepSeek-R1-Distill-Qwen-7B,arc-easy,1000,0.92,50,46,570.82,519.5,1000,155,257.7772088214067,9,18.0
deepseek-aiDeepSeek-R1-Distill-Qwen-7B,arc-easy,2000,0.94,50,47,681.32,519.5,2000,155,504.9070005294771,5,10.0
deepseek-aiDeepSeek-R1-Distill-Qwen-7B,arc-easy,4000,0.96,50,48,786.38,519.5,4000,155,837.459420643466,2,4.0
deepseek-aiDeepSeek-R1-Distill-Qwen-7B,gpqa,300,0.62,50,31,300.0,300.0,300,300,0.0,50,100.0
