model,dataset,diversity_start,diversity_end,diversity_change,diversity_change_pct,repetition_start,repetition_end,repetition_change,repetition_change_pct,token_usage_pct,hit_limit_pct,self_regulation,avg_steps,tokens_per_step,efficiency,net_change_last,improved_pct,degraded_pct
AIDC-AIMarco-o1_7b_model,arc-easy,0.571367161269355,0.135035278760933,-0.43633188250842203,-76.36628635413045,0.0954271931541407,0.3504589309667219,0.25503173781258126,267.252686978476,98.166,98.0,Weak,8.04,488.3880597014926,Poor,0,0.0,0.0
AIDC-AIMarco-o1_7b_model,boolq,0.6587876505763297,0.3811327252034022,-0.2776549253729275,-42.14634641830727,0.1374907311803517,0.2805381974131486,0.1430474662327969,104.04153429452363,60.5795,60.0,Moderate,2.94,824.2108843537414,Poor,0,0.0,0.0
AIDC-AIMarco-o1_7b_model,gpqa,0.5965637365415829,0.1618651078056118,-0.4346986287359711,-72.867088981308,0.1071572816939075,0.3298678166349046,0.22271053494099713,207.83518527202384,98.2325,98.0,Weak,45.12,87.08554964539007,Good,1,2.0,0.0
AIDC-AIMarco-o1_7b_model,gsm8k,0.4838425889704584,0.2111683991877659,-0.27267418978269253,-56.35597113575733,0.1758793119180627,0.3349719069912408,0.1590925950731781,90.45554780615412,86.62,82.0,Weak,34.96,99.10755148741418,Good,0,6.0,6.0
QwenQwQ-32B-Preview_model,arc-easy,0.598337870170865,0.5729436129663619,-0.025394257204503168,-4.2441333685349765,0.0872410196366978,0.1000038945201106,0.012762874883412809,14.629442590838456,3.88,0.0,Strong,1.2,258.6666666666667,Poor,0,0.0,0.0
QwenQwQ-32B-Preview_model,boolq,0.7377566291862406,0.7232590661750375,-0.014497563011203085,-1.9650874607787896,0.0582816347454046,0.082084877050816,0.023803242305411407,40.84175471294283,2.81875,2.0,Strong,2.78,81.11510791366906,Good,0,0.0,0.0
QwenQwQ-32B-Preview_model,gpqa,0.5546222596787294,0.3754875802608229,-0.17913467941790645,-32.29850160029135,0.1201149500180609,0.2066548267535211,0.0865398767354602,72.04754838797982,19.84375,2.0,Strong,21.24,74.74105461393597,Good,0,0.0,0.0
QwenQwQ-32B-Preview_model,gsm8k,0.4516706037587956,0.396244920400612,-0.0554256833581836,-12.271262042942785,0.2199930119470041,0.2603557967183125,0.04036278477130839,18.347303132079354,6.17025,0.0,Strong,8.98,54.96881959910913,Good,0,0.0,0.0
SkyworkSkywork-o1-Open-Llama-3.1-8B_model,arc-easy,0.4244884866957684,0.304552362090492,-0.11993612460527636,-28.25427034284555,0.2394471285057449,0.2415683056465906,0.002121177140845698,0.8858645138418547,45.332,42.0,Strong,1.7,1066.6352941176472,Poor,0,0.0,0.0
SkyworkSkywork-o1-Open-Llama-3.1-8B_model,boolq,0.6504379975221741,0.625312296215019,-0.02512570130715508,-3.8628895302658757,0.1030016275536806,0.1033556367520294,0.00035400919834879807,0.3436928199647153,13.665,12.0,Strong,1.02,535.8823529411765,Poor,0,0.0,0.0
SkyworkSkywork-o1-Open-Llama-3.1-8B_model,gpqa,0.4489345190137535,0.2673134872525342,-0.1816210317612193,-40.45601843231289,0.2513695736974802,0.3160682775739127,0.0646987038764325,25.738478577481498,42.851,32.0,Strong,11.46,149.56719022687608,Poor,-1,0.0,2.0
SkyworkSkywork-o1-Open-Llama-3.1-8B_model,gsm8k,0.4510933442868808,0.4352305211834169,-0.01586282310346393,-3.516527854903505,0.2166356480279339,0.2265384869464727,0.009902838918538798,4.571195465144261,7.321,0.0,Strong,5.48,53.43795620437955,Good,0,0.0,0.0
deepseek-aiDeepSeek-R1-Distill-Llama-70B_model,arc-easy,0.5782253522597655,0.4421576681904077,-0.13606768406935776,-23.53194710982335,0.0730834776686879,0.1493646471630252,0.07628116949433729,104.37539636543517,7.7655,0.0,Strong,1.28,485.34375,Poor,0,0.0,0.0
deepseek-aiDeepSeek-R1-Distill-Llama-70B_model,boolq,0.5407586342698443,0.4737507155013046,-0.06700791876853968,-12.39146534553566,0.1293127501296671,0.1612524040007072,0.03193965387104011,24.699539557400907,11.14125,6.0,Strong,2.92,305.23972602739724,Poor,0,0.0,0.0
deepseek-aiDeepSeek-R1-Distill-Llama-70B_model,gpqa,0.602803740839597,0.2443451985666855,-0.3584585422729115,-59.46521529107357,0.0807011614864586,0.2808684705655766,0.200167309079118,248.03522699323906,52.9155,18.0,Moderate,77.78,54.42581640524556,Good,6,16.0,4.0
deepseek-aiDeepSeek-R1-Distill-Llama-70B_model,gsm8k,0.453410843053193,0.3585173782258543,-0.09489346482733874,-20.92880359638997,0.2464907663402183,0.3567911275271491,0.11030036118693079,44.74827305891409,8.915000000000001,2.0,Strong,15.7,45.426751592356695,Good,0,0.0,0.0
deepseek-aiDeepSeek-R1-Distill-Qwen-1.5B_model,arc-easy,0.5207965939171836,0.4711107000825716,-0.04968589383461197,-9.540364590501326,0.1830440427037181,0.2088479460415576,0.025803903337839496,14.097100870748717,16.1945,10.0,Strong,1.24,522.4032258064516,Poor,0,0.0,0.0
deepseek-aiDeepSeek-R1-Distill-Qwen-1.5B_model,boolq,0.4773991857537671,0.3347180459889705,-0.14268113976479663,-29.887177025557115,0.2853337147391367,0.3392528774557631,0.05391916271662639,18.89687756174254,33.787,32.0,Strong,5.34,253.0861423220974,Poor,0,0.0,0.0
deepseek-aiDeepSeek-R1-Distill-Qwen-1.5B_model,gpqa,0.5305745865854435,0.321911154798886,-0.20866343178655755,-39.32782252716404,0.1611636968922389,0.2718149728604077,0.11065127596816879,68.65769283150354,42.8555,34.0,Strong,33.88,50.59681227863046,Good,-1,2.0,4.0
deepseek-aiDeepSeek-R1-Distill-Qwen-1.5B_model,gsm8k,0.3476070141597525,0.0539065605456655,-0.293700453614087,-84.49209643367804,0.358720033519863,0.5342589966473433,0.17553896312748035,48.934808966491815,95.94,94.0,Weak,102.0,37.62352941176471,Good,-1,2.0,4.0
deepseek-aiDeepSeek-R1-Distill-Qwen-14B_model,arc-easy,0.5459796914463232,0.5096405879285772,-0.03633910351774594,-6.655761026840051,0.2088394496008133,0.2387519486197763,0.029912499018963007,14.323203339282559,7.762,0.0,Strong,1.5,206.98666666666668,Poor,0,0.0,0.0
deepseek-aiDeepSeek-R1-Distill-Qwen-14B_model,boolq,0.7519189146129266,0.7260023925419825,-0.02591652207094408,-3.446717666928941,0.0469365400951885,0.0662412233981749,0.019304683302986396,41.129327521449184,1.8985,0.0,Strong,1.24,61.24193548387097,Good,0,0.0,0.0
deepseek-aiDeepSeek-R1-Distill-Qwen-14B_model,gpqa,0.5544033301279971,0.2942484544678022,-0.26015487566019496,-46.9252007559428,0.1306213036205609,0.2888583067396436,0.15823700311908268,121.14180362090248,57.010000000000005,36.0,Moderate,39.02,58.44182470527935,Good,1,4.0,2.0
deepseek-aiDeepSeek-R1-Distill-Qwen-14B_model,gsm8k,0.4395126360701302,0.2945761855664869,-0.1449364505036433,-32.97662879492655,0.2562663005479429,0.3779232603519641,0.12165695980402119,47.472866913791236,30.964,16.0,Strong,21.66,57.18190212373037,Good,-2,2.0,6.0
deepseek-aiDeepSeek-R1-Distill-Qwen-7B_model,arc-easy,0.5606347401230609,0.4216667409274759,-0.138967999195585,-24.787618256599856,0.0992050299067039,0.1815318656759813,0.0823268357692774,82.98655405547544,19.6595,4.0,Strong,3.04,258.67763157894734,Poor,1,2.0,0.0
deepseek-aiDeepSeek-R1-Distill-Qwen-7B_model,boolq,0.4833642171914022,0.3548541707836657,-0.1285100464077365,-26.586586643596995,0.2413953436462342,0.3147670352683688,0.07337169162213461,30.394824735998682,32.9555,26.0,Strong,9.64,136.74481327800828,Poor,0,0.0,0.0
